"Id","Year","Appendix","Taxon","Class","Order","Family","Genus","Term","Quantity","Unit","Importer","Exporter","Origin","Purpose","Source","Reporter.type","Import.permit.RandomID","Export.permit.RandomID","Origin.permit.RandomID"
"4588526151",2022,"II","Acipenser baerii","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","caviar",1125,"g","TR","DE","CN","T","C","I","228409ac1c","004eeba290","8d915c3d25"
"7915132851",2022,"II","Acipenser baerii","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","fingerlings",80,"kg","TR","AZ","","T","C","I","1abee3d545","2caa97b42c",""
"9175622051",2022,"II","Acipenser baerii","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","leather products (small)",1,"Number of specimens","TR","CH","FR","T","C","I","f77cab0601","f48abfc0f5","a1a71b0101"
"1795059451",2022,"II","Acipenser baerii","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","leather products (small)",2,"Number of specimens","TR","CH","FR","T","C","I","92cc2c01b9","3ea8445091","a1a71b0101"
"7929957151",2022,"II","Acipenser baerii","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","eggs (live)",1,"kg","TR","AZ","","T","C","I","31d199fb6f","e8dec98833",""
"5195175551",2022,"II","Acipenser baerii","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","caviar",480,"g","GR","TR","","T","C","E","","2ac741e1ed",""
"9137158351",2022,"II","Acipenser gueldenstaedtii","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","caviar",1125,"g","TR","DE","CN","T","C","I","228409ac1c","004eeba290","7d97a4162a"
"9592433351",2022,"II","Acipenser gueldenstaedtii","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","live",1150,"kg","TR","AZ","","T","C","I","7a1dbefd56","0038b64c4b",""
"9877346251",2022,"II","Acipenser gueldenstaedtii","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","caviar",5.438,"kg","TR","AZ","","T","C","I","6355e12d05","1bb03d9b1b",""
"3316073051",2022,"II","Acipenser gueldenstaedtii","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","fingerlings",350,"kg","TR","AZ","","T","C","I","3e16662b91","41738411b4",""
